"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"IX","Índice","2016-M01","2016 Enero",98.72,,
"IX","Índice","2016-M02","2016 Febrero",98.13,,
"IX","Índice","2016-M03","2016 Marzo",99.51,,
"IX","Índice","2016-M04","2016 Abril",99.52,,
"IX","Índice","2016-M05","2016 Mayo",99.26,,
"IX","Índice","2016-M06","2016 Junio",99.36,,
"IX","Índice","2016-M07","2016 Julio",99.89,,
"IX","Índice","2016-M08","2016 Agosto",99.94,,
"IX","Índice","2016-M09","2016 Septiembre",100.92,,
"IX","Índice","2016-M10","2016 Octubre",100.92,,
"IX","Índice","2016-M11","2016 Noviembre",101.24,,
"IX","Índice","2016-M12","2016 Diciembre",102.6,,
"IX","Índice","2017-M01","2017 Enero",103.74,,
"IX","Índice","2017-M02","2017 Febrero",103.48,,
"IX","Índice","2017-M03","2017 Marzo",104.07,,
"IX","Índice","2017-M04","2017 Abril",104.91,,
"IX","Índice","2017-M05","2017 Mayo",104.48,,
"IX","Índice","2017-M06","2017 Junio",105.1,,
"IX","Índice","2017-M07","2017 Julio",106.13,,
"IX","Índice","2017-M08","2017 Agosto",106.66,,
"IX","Índice","2017-M09","2017 Septiembre",106.81,,
"IX","Índice","2017-M10","2017 Octubre",107.12,,
"IX","Índice","2017-M11","2017 Noviembre",107.74,,
"IX","Índice","2017-M12","2017 Diciembre",108.53,,
"IX","Índice","2018-M01","2018 Enero",109.38,,
"IX","Índice","2018-M02","2018 Febrero",108.97,,
"IX","Índice","2018-M03","2018 Marzo",109.53,,
"IX","Índice","2018-M04","2018 Abril",109.84,,
"IX","Índice","2018-M05","2018 Mayo",109.69,,
"IX","Índice","2018-M06","2018 Junio",109.87,,
"IX","Índice","2018-M07","2018 Julio",110.43,,
"IX","Índice","2018-M08","2018 Agosto",110.49,,
"IX","Índice","2018-M09","2018 Septiembre",111.55,,
"IX","Índice","2018-M10","2018 Octubre",111.49,,
"IX","Índice","2018-M11","2018 Noviembre",112.1,,
"IX","Índice","2018-M12","2018 Diciembre",112.64,,
"IX","Índice","2019-M01","2019 Enero",113.53,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M01","2017 Enero",5.1,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M02","2017 Febrero",5.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M03","2017 Marzo",4.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M04","2017 Abril",5.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M05","2017 Mayo",5.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M06","2017 Junio",5.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M07","2017 Julio",6.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M08","2017 Agosto",6.7,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M09","2017 Septiembre",5.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M10","2017 Octubre",6.1,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M11","2017 Noviembre",6.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M12","2017 Diciembre",5.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M01","2018 Enero",5.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M02","2018 Febrero",5.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M03","2018 Marzo",5.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M04","2018 Abril",4.7,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M05","2018 Mayo",5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M06","2018 Junio",4.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M07","2018 Julio",4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M08","2018 Agosto",3.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M09","2018 Septiembre",4.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M10","2018 Octubre",4.1,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M11","2018 Noviembre",4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M12","2018 Diciembre",3.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M01","2019 Enero",3.8,,
"IX","Índice","2019-M02","2019 Febrero",113.7,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M02","2019 Febrero",4.3,,
"IX","Índice","2019-M03","2019 Marzo",114.72,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M03","2019 Marzo",4.7,,
"IX","Índice","2019-M04","2019 Abril",115.43,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M04","2019 Abril",5.1,,
"IX","Índice","2019-M05","2019 Mayo",115.34,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M05","2019 Mayo",5.2,,
"IX","Índice","2019-M06","2019 Junio",115.22,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M06","2019 Junio",4.9,,
"IX","Índice","2019-M07","2019 Julio",115.99,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M07","2019 Julio",5,,
"IX","Índice","2019-M08","2019 Agosto",116.23,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M08","2019 Agosto",5.2,,
"IX","Índice","2019-M09","2019 Septiembre",116.47,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M09","2019 Septiembre",4.4,,
"IX","Índice","2019-M10","2019 Octubre",116.47,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M10","2019 Octubre",4.5,,
"IX","Índice","2019-M11","2019 Noviembre",116.77,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M11","2019 Noviembre",4.2,,
"IX","Índice","2019-M12","2019 Diciembre",117.84,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M12","2019 Diciembre",4.6,,
"IX","Índice","2020-M01","2020 Enero",118.85,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M01","2020 Enero",4.7,,
"IX","Índice","2020-M02","2020 Febrero",118.75,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M02","2020 Febrero",4.4,,
"IX","Índice","2020-M03","2020 Marzo",120.06,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M03","2020 Marzo",4.7,,
