"";"serie";"fecha";"año";"mes";"valor";"fecha_scraping"
"58";"Inversión extranjera directa (pasivos)";"2007-10-1";2007;10;1541,86203570429;2024-07-10
"59";"Inversión extranjera directa (pasivos)";"2007-11-1";2007;11;993,351435292844;2024-07-10
"60";"Inversión extranjera directa (pasivos)";"2007-12-1";2007;12;-1122,87981304809;2024-07-10
"61";"Inversión extranjera directa (pasivos)";"2008-1-1";2008;1;1982,29923996591;2024-07-10
"62";"Inversión extranjera directa (pasivos)";"2008-2-1";2008;2;2007,27195363146;2024-07-10
"63";"Inversión extranjera directa (pasivos)";"2008-3-1";2008;3;1491,05013836741;2024-07-10
"64";"Inversión extranjera directa (pasivos)";"2008-4-1";2008;4;1914,61217656158;2024-07-10
"65";"Inversión extranjera directa (pasivos)";"2008-5-1";2008;5;1455,74420392924;2024-07-10
"66";"Inversión extranjera directa (pasivos)";"2008-6-1";2008;6;-40,7183326211684;2024-07-10
"67";"Inversión extranjera directa (pasivos)";"2008-7-1";2008;7;1151,04861624017;2024-07-10
"68";"Inversión extranjera directa (pasivos)";"2008-8-1";2008;8;1345,35886108871;2024-07-10
"69";"Inversión extranjera directa (pasivos)";"2008-9-1";2008;9;2335,90939301552;2024-07-10
"70";"Inversión extranjera directa (pasivos)";"2008-10-1";2008;10;1345,33486404075;2024-07-10
"71";"Inversión extranjera directa (pasivos)";"2008-11-1";2008;11;2502,35735383498;2024-07-10
"72";"Inversión extranjera directa (pasivos)";"2008-12-1";2008;12;1321,50948331431;2024-07-10
"73";"Inversión extranjera directa (pasivos)";"2009-1-1";2009;1;2576,4588002496;2024-07-10
"74";"Inversión extranjera directa (pasivos)";"2009-2-1";2009;2;-285,025289114487;2024-07-10
"75";"Inversión extranjera directa (pasivos)";"2009-3-1";2009;3;1362,48400859016;2024-07-10
"76";"Inversión extranjera directa (pasivos)";"2009-4-1";2009;4;1308,06885936257;2024-07-10
"77";"Inversión extranjera directa (pasivos)";"2009-5-1";2009;5;-813,625065290595;2024-07-10
"78";"Inversión extranjera directa (pasivos)";"2009-6-1";2009;6;778,810788840626;2024-07-10
"79";"Inversión extranjera directa (pasivos)";"2009-7-1";2009;7;1293,13198272229;2024-07-10
"80";"Inversión extranjera directa (pasivos)";"2009-8-1";2009;8;1282,92970914773;2024-07-10
"81";"Inversión extranjera directa (pasivos)";"2009-9-1";2009;9;521,619866500132;2024-07-10
"82";"Inversión extranjera directa (pasivos)";"2009-10-1";2009;10;1099,06160890045;2024-07-10
"83";"Inversión extranjera directa (pasivos)";"2009-11-1";2009;11;1066,12626960651;2024-07-10
"84";"Inversión extranjera directa (pasivos)";"2009-12-1";2009;12;2560,28045937403;2024-07-10
"85";"Inversión extranjera directa (pasivos)";"2010-1-1";2010;1;1947,03666826158;2024-07-10
"86";"Inversión extranjera directa (pasivos)";"2010-2-1";2010;2;2079,21779745657;2024-07-10
"87";"Inversión extranjera directa (pasivos)";"2010-3-1";2010;3;1107,81846205848;2024-07-10
"88";"Inversión extranjera directa (pasivos)";"2010-4-1";2010;4;755,042134103815;2024-07-10
"89";"Inversión extranjera directa (pasivos)";"2010-5-1";2010;5;682,637631847059;2024-07-10
"90";"Inversión extranjera directa (pasivos)";"2010-6-1";2010;6;376,568989415751;2024-07-10
"91";"Inversión extranjera directa (pasivos)";"2010-7-1";2010;7;1785,82039316207;2024-07-10
"92";"Inversión extranjera directa (pasivos)";"2010-8-1";2010;8;1971,80388116135;2024-07-10
"93";"Inversión extranjera directa (pasivos)";"2010-9-1";2010;9;1729,8976880189;2024-07-10
"94";"Inversión extranjera directa (pasivos)";"2010-10-1";2010;10;915,475314269939;2024-07-10
"95";"Inversión extranjera directa (pasivos)";"2010-11-1";2010;11;802,642690569442;2024-07-10
"96";"Inversión extranjera directa (pasivos)";"2010-12-1";2010;12;695,481506700025;2024-07-10
"97";"Inversión extranjera directa (pasivos)";"2011-1-1";2011;1;2458,9054550271;2024-07-10
"98";"Inversión extranjera directa (pasivos)";"2011-2-1";2011;2;2102,51561924844;2024-07-10
"99";"Inversión extranjera directa (pasivos)";"2011-3-1";2011;3;2276,23934480667;2024-07-10
"100";"Inversión extranjera directa (pasivos)";"2011-4-1";2011;4;1213,90303846637;2024-07-10
"101";"Inversión extranjera directa (pasivos)";"2011-5-1";2011;5;758,771604276641;2024-07-10
"102";"Inversión extranjera directa (pasivos)";"2011-6-1";2011;6;201,092016578778;2024-07-10
"103";"Inversión extranjera directa (pasivos)";"2011-7-1";2011;7;1128,62864665936;2024-07-10
"104";"Inversión extranjera directa (pasivos)";"2011-8-1";2011;8;1617,31867044847;2024-07-10
"105";"Inversión extranjera directa (pasivos)";"2011-9-1";2011;9;1980,19458108916;2024-07-10
"106";"Inversión extranjera directa (pasivos)";"2011-10-1";2011;10;2608,45114445065;2024-07-10
"107";"Inversión extranjera directa (pasivos)";"2011-11-1";2011;11;8064,90066562834;2024-07-10
"108";"Inversión extranjera directa (pasivos)";"2011-12-1";2011;12;1958,54260214733;2024-07-10
"109";"Inversión extranjera directa (pasivos)";"2012-1-1";2012;1;1562,62830524535;2024-07-10
"110";"Inversión extranjera directa (pasivos)";"2012-2-1";2012;2;1410,81578072495;2024-07-10
"111";"Inversión extranjera directa (pasivos)";"2012-3-1";2012;3;1689,45002702828;2024-07-10
