Orden;Glosa;Descripción
342;Unidad_Oct2021;Es la unidad de medida, relacionada a la cantidad
343;Unidad_Nov2021;Es la unidad de medida, relacionada a la cantidad
344;Unidad_Dic2021;Es la unidad de medida, relacionada a la cantidad
345;Unidad_Ene2022;Es la unidad de medida, relacionada a la cantidad
346;Unidad_Feb2022;Es la unidad de medida, relacionada a la cantidad
347;Unidad_Mar2022;Es la unidad de medida, relacionada a la cantidad
348;Unidad_Abr2022;Es la unidad de medida, relacionada a la cantidad
349;Unidad_May2022;Es la unidad de medida, relacionada a la cantidad
350;Unidad_Jun2022;Es la unidad de medida, relacionada a la cantidad
351;Unidad_Jul2022;Es la unidad de medida, relacionada a la cantidad
352;Unidad_Ago2022;Es la unidad de medida, relacionada a la cantidad
353;Unidad_Sep2022;Es la unidad de medida, relacionada a la cantidad
354;Unidad_Oct2022;Es la unidad de medida, relacionada a la cantidad
355;Unidad_Nov2022;Es la unidad de medida, relacionada a la cantidad
356;Unidad_Dic2022;Es la unidad de medida, relacionada a la cantidad
357;Unidad_Ene2023;Es la unidad de medida, relacionada a la cantidad
358;Unidad_Feb2023;Es la unidad de medida, relacionada a la cantidad
359;Unidad_Mar2023;Es la unidad de medida, relacionada a la cantidad
360;Unidad_Abr2023;Es la unidad de medida, relacionada a la cantidad
361;Unidad_May2023;Es la unidad de medida, relacionada a la cantidad
362;Unidad_Jun2023;Es la unidad de medida, relacionada a la cantidad
363;Unidad_Jul2023;Es la unidad de medida, relacionada a la cantidad
364;Unidad_Ago2023;Es la unidad de medida, relacionada a la cantidad
365;Unidad_Sep2023;Es la unidad de medida, relacionada a la cantidad
366;Unidad_Oct2023;Es la unidad de medida, relacionada a la cantidad
367;Unidad_Nov2023;Es la unidad de medida, relacionada a la cantidad
368;Unidad_Dic2023;Es la unidad de medida, relacionada a la cantidad
