"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M08","2019 Agosto",2.6,,
"IX","Índice","2019-M09","2019 Septiembre",95.61,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M09","2019 Septiembre",2.1,,
"IX","Índice","2019-M10","2019 Octubre",94.84,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M10","2019 Octubre",1.7,,
"IX","Índice","2019-M11","2019 Noviembre",95.01,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M11","2019 Noviembre",1.3,,
"IX","Índice","2019-M12","2019 Diciembre",95.78,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2019-M12","2019 Diciembre",1.6,,
"IX","Índice","2020-M01","2020 Enero",96.06,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M01","2020 Enero",1.2,,
"IX","Índice","2020-M02","2020 Febrero",95.55,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M02","2020 Febrero",0.5,,
"IX","Índice","2020-M03","2020 Marzo",96.29,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M03","2020 Marzo",0.9,,
"IX","Índice","2020-M04","2020 Abril",95.09,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M04","2020 Abril",-0.7,,
"IX","Índice","2020-M05","2020 Mayo",95,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M05","2020 Mayo",-0.1,,
"IX","Índice","2020-M06","2020 Junio",95.11,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M06","2020 Junio",0.1,,
"IX","Índice","2020-M07","2020 Julio",95.72,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M07","2020 Julio",0.3,,
"IX","Índice","2020-M08","2020 Agosto",95.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M08","2020 Agosto",0.4,,
"IX","Índice","2020-M09","2020 Septiembre",96.15,,
